!SIL SIL
<SPOKEN_NOISE> SPN
<UNK> SPN
A	ɑː 
AUTORITET	aʊ t uː r iː t ə t 
AUTORITETER	aʊ t uː r iː t eː t ə r 
AV	a v 
AVANSERT	a v ɑ n s a r t 
AVANSERTE	a v ɑ n s a r t a 
AVBESTILLE	ɑ v b ə s t ɪ l l a 
AVBINDINGSSYSTEMET	ɑ v b ɪ n n ɪ ŋ s s y s t eː m ə t 
AVBLÅSES	ɑ v b l oː s ə s 
AVBREKK	ɑ v b r ɛ kː 
AVBRUTT	ɑ v b r ʉ tː 
AVBRYT	ɑ v b r yː t 
AVBRYTE	ɑ v b r yː t a 
AVBRYTER	ɑ v b r yː t ə r 
AVBRØT	ɑ v b r øː t 
AVDEKKE	ɑ v d ɛ kː a 
AVDEKKER	ɑ v d ɛ kː ə r 
AVDELING	ɑ v d eː l ɪ ŋ 
AVDELINGER	ɑ v d eː l ɪ ŋ ə r 
AVFALL	ɑ v f ɑ l 
AVFALLET	ɑ v f ɑ l l ə t 
AVGANG	ɑ v ɡ ɑ ŋ 
AVGANGEN	ɑ v ɡ ɑ ŋ ə n 
AVGANGSHALLEN	ɑ v ɡ ɑ ŋ s h ɑ l l ə n 
AVGIFT	ɑ v j ɪ f t 
AVGIFTENE	ɑ v j ɪ f t ɛ n a 
AVGIFTERPUNKTUM	ɑ v j ɪ f t a r p ʉ ŋ k t ʉː m 
AVGIFTSSYSTEMET	ɑ v j ɪ f t s s y s t eː m ə t 
AVGIR	ɑ v j iː r 
AVGJORT	ɑ v j ʊ r t 
AVGJØRE	ɑ v j øː r a 
AVGJØRELSE	ɑ v j øː r ɛ l s a 
AVGJØRELSEN	ɑ v j øː r ɛ l s ə n 
AVGJØRELSER	ɑ v j øː r ɛ l s ə r 
AVGJØRENDE	ɑ v j øː r ɛ n n a 
AVGRENSET	ɑ v ɡ r ɛ n s ə t 
AVGRENSNINGSBESTEMMELSENE	ɑ v ɡ r ə n s n ɪ ŋ s b ə s t ɛ m m ə l s ɛ n a 
AVGÅTT	ɑ v ɡ ɔ tː 
AVHENGER	ɑ v h ɛ ŋ ə r 
AVHENGIG	ɑ v h ə ŋ ɪ 
AVHENGIGE	ɑ v h ə ŋ iː ɡ a 
AVHENGIGHET	ɑ v h ə ŋ ɪ ɡ h ə t 
AVHOLDE	ɑ v h ɔ l l a 
AVHØRENE	ɑ v h øː r ɛ n a 
AVISBUD	a v ɪ s b ʉː d 
AVISEN	a v iː s ə n 
AVISENE	a v iː s ɛ n a 
AVISENES	a v iː s eː n ə s 
AVISENS	a v iː s ə n s 
AVISER	a v iː s ə r 
AVISINNLEGG	a v iː s ɪ n l ɛ ɡː 
AVISPAPIR	a v ɪ s p a p iː r 
AVKJØLES	ɑ v x øː l ə s 
AVKLARENDE	ɑ v k l a r ɛ n n a 
AVKLARING	ɑ v k l a r ɪ ŋ 
AVKLART	ɑ v k l ɑ r t 
AVKORTING	ɑ v k ʊ r t ɪ ŋ 
AVKREFTER	ɑ v k r ɛ f t ə r 
AVLAGT	ɑ v l ɑ ɡ t 
AVLEGGES	ɑ v l ɛ ɡː ə s 
AVLEGGS	ɑ v l ɛ ɡː s 
AVLINGER	ɑ v l ɪ ŋ ə r 
AVLIVE	ɑ v l iː v a 
AVLSDYR	ɑ v l s d yː r 
AVLYSE	ɑ v l yː s a 
AVLYSTE	ɑ v l y s t a 
AVLØP	ɑ v l øː p 
AVMAKT	ɑ v m ɑ k t 
AVREISETIDSPUNKTET	ɑ v r aɪ s eː t ɪ d s p ʉ ŋ k t ə t 
AVSAGT	ɑ v s ɑ ɡ t 
AVSATT	ɑ v s ɑ tː 
AVSATTE	ɑ v s ɑ tː a 
AVSETTER	ɑ v s ɛ tː ə r 
AVSKJEDSPLATENPUNKTUM	ɑ v ʃ ə d s p l a t ə n p ʉ ŋ k t ʉː m 
AVSKOGING	ɑ v s k uː j ɪ ŋ 
AVSKREKKE	ɑ v s k r ɛ kː a 
AVSKYR	ɑ v ʃ yː r 
AVSLAG	ɑ v ʃ l a ɡ 
AVSLAPPET	ɑ v ʃ l ɑ pː ə t 
AVSLUTT	ɑ v ʃ l ʉ tː 
AVSLUTTER	ɑ v ʃ l ʉ tː ə r 
AVSLUTTET	ɑ v ʃ l ʉ tː ə t 
AVSLØRER	ɑ v ʃ l øː r ə r 
AVSLØRES	ɑ v ʃ l øː r ə s 
AVSLØRT	ɑ v ʃ l œ r t 
AVSONDRET	ɑ v s ʊ n n r ə t 
AVSONINGSBEGREPET	ɑ v s uː n ɪ ŋ s b ə ɡ r eː p ə t 
AVSPASERE	ɑ v s p a s eː r a 
AVSPASERING	ɑ v s p a s eː r ɪ ŋ 
AVSPEILER	ɑ v s p aɪ l ə r 
AVSPILLERE	ɑ v s p ɪ l l eː r a 
AVSTAND	ɑ v s t ɑ n n 
AVSTANDER	ɑ v s t ɑ n n ə r 
AVSTEMMINGEN	ɑ v s t ə m m ɪ ŋ ə n 
AVSTIKKERE	ɑ v s t ɪ kː eː r a 
AVSTÅR	ɑ v s t oː r 
AVTALE	ɑ v t a l a 
AVTALEN	ɑ v t a l ə n 
AVTALER	ɑ v t a l ə r 
AVTALES	ɑ v t a l ə s 
AVTALT	ɑ v t ɑ l t 
AVTALTE	ɑ v t ɑ l t a 
AVVEIE	ɑ v v aɪ a 
AVVEIET	ɑ v v aɪ ə t 
AVVENTENDE	ɑ v v ə n t ɛ n n a 
AVVENTER	ɑ v v ɛ n t ə r 
AVVERGER	ɑ v v a r ɡ ə r 
AVVIKE	ɑ v v iː k a 
AVVIKERNE	ɑ v v iː k a r n a 
AVVIKLES	ɑ v v ɪ k l ə s 
AVVISE	ɑ v v iː s a 
AVVISENDE	ɑ v v iː s ɛ n n a 
AVVISER	ɑ v v iː s ə r 
AVVIST	ɑ v v ɪ s t 
AVVISTE	ɑ v v ɪ s t a 
AVVÆPNENDE	ɑ v v a p n ɛ n n a 
B	b eː 
BA	b ɑ 
BAD	b a d 
BADEANSTALTEN	b a d eː ɑ n s t ɑ l t ə n 
BADEKARET	b a d eː k a r ə t 
BADELANDET	b a d eː l ɑ n n ə t 
BADENYMFE	b a d eː n y m f a 
BADET	b a d a 
BAGASJEROM	b a ɡ ɑ ʃ eː r uː m 
BAGASJEROMMET	b a ɡ ɑ ʃ eː r ɔ m m ə t 
BAGATELL	b a ɡ a t ɛ l 
BAGDAD	b ɑ ɡ d a d 
BAGN	b ɑ ŋ n 
BAK	b a k 
BAKEBORD	b a k eː b uː r 
BAKEN	b a k ə n 
BAKEPAPIRPUNKTUM	b a k eː p a p ɪ r p ʉ ŋ k t ʉː m 
BAKER	b a k ə r 
BAKERIENE	b a k eː r iː ɛ n a 
BAKERST	b a k a r ʃ t 
BAKFRA	b ɑ k f r ɑ 
BAKGRUNN	b ɑ k ɡ r ʉ n 
BAKGRUNNEN	b ɑ k ɡ r ʉ n n ə n 
BAKGRUNNSLYD	b ɑ k ɡ r ʉ n ʃ l yː d 
BAKGRUNNSMUSIKK	b ɑ k ɡ r ʉ n s m ʉː s ɪ kː 
BAKGRUNNSOPPLYSNINGER	b ɑ k ɡ r ʉ n s ɔ pː l y s n ɪ ŋ ə r 
BAKGÅRDEN	b ɑ k ɡ ɔ r d ə n 
BAKKEKONTAKT	b ɑ kː eː k ɔ n t ɑ k t 
BAKKEKONTAKTEN	b ɑ kː eː k ɔ n t ɑ k t ə n 
BAKKEN	b ɑ kː ə n 
BAKKER	b ɑ kː ə r 
BAKMENNENE	b ɑ k m ə n n ɛ n a 
BAKOVER	b a k uː v ə r 
BAKROMMET	b ɑ k r ɔ m m ə t 
BAKSETENE	b ɑ k s eː t ɛ n a 
BAKSETET	b ɑ k s eː t ə t 
BAKTERIEDREPENDE	b ɑ k t eː r iː ə d r eː p ɛ n n a 
BAKTERIEN	b ɑ k t eː r iː ə n 
BAKTERIERPUNKTUM	b ɑ k t eː r iː a r p ʉ ŋ k t ʉː m 
BALANSE	b a l ɑ n s a 
BALANSERES	b a l ɑ n s eː r ə s 
BALANSERINGEN	b a l ɑ n s eː r ɪ ŋ ə n 
BALANSERT	b a l ɑ n s a r t 
BALESTRAND	b a l ə s t r ɑ n n 
BALKONGER	b ɑ l k ɔ ŋ ə r 
BALKONGPLASSEN	b ɑ l k ɔ ŋ p l ɑ s s ə n 
BALL	b ɑ l 
BALLETT	b ɑ l l ɛ tː 
BALLONGEN	b ɑ l l ɔ ŋ ə n 
BALTISKE	b ɑ l t ɪ s k a 
BAMBLE	b ɑ m b l a 
BANAN	b a n a n 
BANANER	b a n a n ə r 
BANDENE	b ɑ n n ɛ n a 
BANE	b a n a 
BANEBRYTENDE	b a n ə b r yː t ɛ n n a 
BANEN	b a n ə n 
BANER	b a n ə r 
BANGE	b ɑ ŋ a 
BANGKOK	b ɑ ŋ k uː k 
BANK	b ɑ ŋ k 
BANKEN	b ɑ ŋ k ə n 
BANKER	b ɑ ŋ k ə r 
BANKKORTET	b ɑ ŋ kː ʊ r t ə t 
BAPTISTSKOLEN	b ɑ p t ɪ s t s k uː l ə n 
BAR	b a r 
BARBAR	b ɑ r b a r 
BARBARENE	b ɑ r b a r ɛ n a 
BARBO	b ɑ r b uː 
BARBRO	b ɑ r b r uː 
BARDU	b ɑ r d ʉː 
BARE	b a r a 
BAREN	b a r ə n 
BARENTSREGIONEN	b a r ə n t s r eː j iː uː n ə n 
BARER	b a r ə r 
BARN	b ɑ r n 
BARNA	b ɑ r n ɑ 
BARNAPUNKTUM	b ɑ r n a p ʉ ŋ k t ʉː m 
BARNAS	b ɑ r n a s 
BARNDOM	b ɑ r n n uː m 
BARNDOMMEN	b ɑ r n n ɔ m m ə n 
BARNDOMS	b ɑ r n n ɔ m s 
BARNDOMSHJEMMET	b ɑ r n n ɔ m s j ɛ m m ə t 
BARNEARBEID	b ɑ r n eː ɑ r b aɪ d 
BARNEARRANGEMENTER	b ɑ r n eː ɑ r r ɑ ŋ eː m ɛ n t ə r 
BARNEBOK	b ɑ r n eː b uː k 
BARNEBØKER	b ɑ r n eː b øː k ə r 
BARNEFAMILIENE	b ɑ r n eː f a m iː l iː ɛ n a 
BARNEFAMILIENES	b ɑ r n eː f a m iː l iː eː n ə s 
BARNEFAMILIER	b ɑ r n eː f a m iː l iː ə r 
BARNEGRUPPA	b ɑ r n ə ɡ r ʉ pː ɑ 
BARNEHAGE	b ɑ r n eː h a ɡ a 
BARNEHAGEN	b ɑ r n eː h a ɡ ə n 
BARNEHAVE	b ɑ r n eː h a v a 
BARNEHAVEPLASS	b ɑ r n eː h a v ə p l ɑ s 
BARNEHAVER	b ɑ r n eː h a v ə r 
BARNEHJEM	b ɑ r n ɛ j ə m 
BARNELEK	b ɑ r n eː l ə k 
BARNELITTERATUREN	b ɑ r n eː l ɪ tː eː r a t ʉː r ə n 
BARNEMISHANDLING	b ɑ r n eː m ɪ s h ɑ n n l ɪ ŋ 
BARNEOMSORGEN	b ɑ r n eː ɔ m s ɔ r ɡ ə n 
BARNESERIE	b ɑ r n eː s eː r iː a 
BARNESKOLEN	b ɑ r n ə s k uː l ə n 
BARNESKOLER	b ɑ r n ə s k uː l ə r 
BARNET	b ɑ r n ə t 
BARNETEATER	b ɑ r n eː t eː a t ə r 
BARNETRYGD	b ɑ r n ə t r y ɡ d 
BARNEVERN	b ɑ r n eː v a r n 
BARNEVERNET	b ɑ r n eː v a r n ə t 
BARNEVERNSINSTITUSJONEN	b ɑ r n eː v a r n s ɪ n s t iː t ʉ ʃ uː n ə n 
BARNPUNKTUM	b ɑ r n p ʉ ŋ k t ʉː m 
BARNS	b ɑ r n s 
BARRER	b ɑ r r ə r 
BARRIERER	b ɑ r r iː eː r ə r 
BARSTAD	b ɑ r ʃ t a d 
BASARENE	b a s a r ɛ n a 
BASE	b a s a 
BASERE	b a s eː r a 
BASERES	b a s eː r ə s 
BASERT	b a s a r t 
BASIS	b a s iː s 
BASISLISTEN	b a s ɪ s l ɪ s t ə n 
BASS	b ɑ s 
BASSHØYTTALER	b ɑ s s h øy tː a l ə r 
BASTANT	b ɑ s t ɑ n t 
BATTERI	b ɑ tː eː r iː 
BATTERIENE	b ɑ tː eː r iː ɛ n a 
BATTERIER	b ɑ tː eː r iː ə r 
BE	b eː 
BEARBEIDE	b ə ɑ r b aɪ d a 
BEARBEIDELSE	b ə ɑ r b aɪ d ɛ l s a 
BEARBEIDELSEN	b ə ɑ r b aɪ d ɛ l s ə n 
BEARBEIDELSER	b ə ɑ r b aɪ d ɛ l s ə r 
BEARBEIDES	b ə ɑ r b aɪ d ə s 
BEARBEIDET	b ə ɑ r b aɪ d a 
BEARBEIDINGEN	b ə ɑ r b aɪ d ɪ ŋ ə n 
BEBO	b ə b uː 
BEBODD	b ə b ɔ dː 
BEBOERE	b ə b ɔ a r a 
BEBOERNE	b ə b ɔ a r n a 
BEBOERNES	b ə b ɔ a r n ə s 
BEBUDEDE	b ə b ʉː d eː d a 
BEBYGGELSE	b ə b y ɡː ɛ l s a 
BEBYGGELSEN	b ə b y ɡː ɛ l s ə n 
BEDRAGERNE	b ə d r a ɡ a r n a 
BEDRE	b ə d r eː 
BEDREVET	b ə d r eː v ə t 
BEDRIFT	b ə d r ɪ f t 
BEDRIFTEN	b ə d r ɪ f t ə n 
BEDRIFTENE	b ə d r ɪ f t ɛ n a 
BEDRIFTENES	b ə d r ɪ f t eː n ə s 
BEDRIFTENS	b ə d r ɪ f t ə n s 
BEDRIFTER	b ə d r ɪ f t ə r 
BEDRIFTERS	b ə d r ɪ f t a ʃ 
BEDRIFTSLEDER	b ə d r ɪ f t ʃ l eː d ə r 
BEDRIFTSSKATTKOMMA	b ə d r ɪ f t s s k ɑ tː k ɔ m m ɑ 
BEDRIVER	b ə d r iː v ə r 
BEDRIVES	b ə d r iː v ə s 
BEDT	b ɛ d t 
BEDØMME	b ə d œ m m a 
BEDØMMELSEN	b ə d œ m m ɛ l s ə n 
BEFALING	b ə f a l ɪ ŋ 
BEFARING	b ə f a r ɪ ŋ 
BEFINNE	b ə f ɪ n n a 
BEFINNER	b ə f ɪ n n ə r 
BEFOLKEDE	b ə f ɔ l k eː d a 
BEFOLKNINGEN	b ə f ɔ l k n ɪ ŋ ə n 
BEFOLKNINGSENDRINGEN	b ə f ɔ l k n ɪ ŋ s ɛ n n r ɪ ŋ ə n 
BEFOLKNINGSVEKST	b ə f ɔ l k n ɪ ŋ s v ɛ k s t 
BEFRIERNE	b ə f r iː a r n a 
BEGAVELSE	b ə ɡ a v ɛ l s a 
BEGEISTRET	b ə j aɪ s t r ə t 
BEGEISTRING	b ə j aɪ s t r ɪ ŋ 
BEGERET	b ə ɡ eː r ə t 
BEGGE	b ə ɡː eː 
BEGIVENHETENES	b ə j iː v ə n h eː t eː n ə s 
BEGIVENHETER	b ə j iː v ə n h eː t ə r 
BEGIVENHETSRIK	b ə j iː v ə n h ɛ t s r iː k 
BEGRAVELSE	b ə ɡ r a v ɛ l s a 
BEGRAVELSEN	b ə ɡ r a v ɛ l s ə n 
BEGREDELIG	b ə ɡ r eː d eː l ɪ 
BEGRENSEDE	b ə ɡ r ɛ n s eː d a 
BEGRENSES	b ə ɡ r ɛ n s ə s 
BEGRENSET	b ə ɡ r ɛ n s ə t 
BEGREP	b ə ɡ r eː p 
BEGREPENE	b ə ɡ r eː p ɛ n a 
BEGREPER	b ə ɡ r eː p ə r 
BEGREPET	b ə ɡ r eː p ə t 
BEGRUNNELSE	b ə ɡ r ʉ n n ɛ l s a 
BEGRUNNES	b ə ɡ r ʉ n n ə s 
BEGRUNNET	b ə ɡ r ʉ n n ə t 
BEGUNSTIGET	b ə ɡ ʉ n s t iː ɡ ə t 
BEGYNN	b ə j y n 
BEGYNNE	b ə j y n n a 
BEGYNNELSE	b ə j y n n ɛ l s a 
BEGYNNELSEN	b ə j y n n ɛ l s ə n 
BEGYNNER	b ə j y n n ə r 
BEGYNNERPROBLEMER	b ə j y n n a r p r ɔ b l eː m ə r 
BEGYNT	b ə j y n t 
BEGYNTE	b ə j y n t a 
BEGYNTEPUNKTUM	b ə j y n t eː p ʉ ŋ k t ʉː m 
BEGÅTT	b ə ɡ ɔ tː 
BEHANDLE	b ə h ɑ n n l a 
BEHANDLER	b ə h ɑ n n l ə r 
BEHANDLES	b ə h ɑ n n l ə s 
BEHANDLESPUNKTUM	b ə h ɑ n n l ə s p ʉ ŋ k t ʉː m 
BEHANDLET	b ə h ɑ n n l ə t 
BEHANDLING	b ə h ɑ n n l ɪ ŋ 
BEHANDLINGEN	b ə h ɑ n n l ɪ ŋ ə n 
BEHANDLINGSFORMER	b ə h ɑ n n l ɪ ŋ s f ɔ r m ə r 
BEHANDLINGSGARANTIEN	b ə h ɑ n n l ɪ ŋ s ɡ a r ɑ n t iː ə n 
BEHANDLINGSOPPLEGGET	b ə h ɑ n n l ɪ ŋ s ɔ pː l ɛ ɡː ə t 
BEHERSKE	b ə h a r ʃ k a 
BEHERSKELSEN	b ə h a r ʃ k ɛ l s ə n 
BEHERSKER	b ə h a r ʃ k ə r 
BEHERSKET	b ə h a r ʃ k ə t 
BEHOLDE	b ə h ɔ l l a 
BEHOLDER	b ə h ɔ l l ə r 
BEHOLDERE	b ə h ɔ l l eː r a 
BEHOLDPUNKTUM	b ə h ɔ l l p ʉ ŋ k t ʉː m 
BEHOLDT	b ə h ɔ l l t 
BEHOV	b ə h uː v 
BEHOVENE	b ə h uː v ɛ n a 
BEHOVET	b ə h uː v ə t 
BEHØRIG	b ə h øː r ɪ 
BEHØVER	b ə h øː v ə r 
BEIN	b ə iː n 
BEINA	b ə iː n ɑ 
BEINHARDT	b ə ɪ n h ɑ r d t 
BEIRUT	b ə iː r ʉː t 
BEIS	b ə iː s 
BEITE	b ə iː t a 
BEITEDYR	b ə iː t eː d yː r 
BEITEFURUER	b ə iː t eː f ʉː r ʉː ə r 
BEITELAND	b ə iː t eː l ɑ n n 
BEITEMARK	b ə iː t eː m ɑ r k 
BEITENE	b ə iː t ɛ n a 
BEITER	b ə iː t ə r 
BEKJENTSKAP	b ə x ɛ n t s k a p 
BEKKELUND	b ə kː eː l ʉ n n 
BEKKEN	b ə kː eː n 
BEKKER	b ə kː eː r 
BEKKEVOLD	b ə kː eː v ɔ l l 
BEKLAGELIG	b ə k l a ɡ eː l ɪ 
BEKLAGER	b ə k l a ɡ ə r 
BEKOSTNING	b ə k ʊ s t n ɪ ŋ 
BEKREFT	b ə k r ɛ f t 
BEKREFTER	b ə k r ɛ f t ə r 
BEKREFTET	b ə k r ɛ f t ə t 
BEKVEMME	b ə k v ɛ m m a 
BEKYMRET	b ə x y m r ə t 
BEKYMRING	b ə x y m r ɪ ŋ 
BEKYMRINGER	b ə x y m r ɪ ŋ ə r 
BELASTENDE	b ə l ɑ s t ɛ n n a 
BELASTES	b ə l ɑ s t ə s 
BELASTNING	b ə l ɑ s t n ɪ ŋ 
BELASTNINGEN	b ə l ɑ s t n ɪ ŋ ə n 
BELASTNINGER	b ə l ɑ s t n ɪ ŋ ə r 
BELASTNINGPUNKTUM	b ə l ɑ s t n ɪ ŋ p ʉ ŋ k t ʉː m 
BELEGGES	b ə l ɛ ɡː ə s 
BELGISKE	b ə l j ɪ s k a 
BELIGGENHETEN	b ə l ɪ ɡː ə n h eː t ə n 
BELYSES	b ə l yː s ə s 
BELYST	b ə l y s t 
BELÆRE	b ə l aː r a 
BELØNNES	b ə l œ n n ə s 
BELØP	b ə l øː p 
BELØPET	b ə l øː p ə t 
BEMANNING	b ə m ɑ n n ɪ ŋ 
BEN	b eː n 
BENA	b ə n ɑ 
BENDIK	b ə n n iː k 
BENDIKSEN	b ə n n ɪ k s ə n 
BENEDICTE	b ə n eː d ɪ k t a 
BENEDIKTE	b ə n eː d ɪ k t a 
BENET	b ə n eː t 
BENGT	b ɛ ŋ t 
BENJAMIN	b ə n j a m iː n 
BENJAMINSEN	b ə n j a m ɪ n s ə n 
BENKENE	b ə ŋ k eː n a 
BENKET	b ə ŋ k eː t 
BENSIN	b ə n s iː n 
BENSINPRISENE	b ə n s ɪ n p r iː s ɛ n a 
BENSINSTASJONENE	b ə n s ɪ n s t ɑ ʃ uː n ɛ n a 
BENSINTILFØRSELEN	b ə n s ɪ n t ɪ l f œ r ʃ eː l ə n 
BENTE	b ə n t eː 
BENYTT	b ə n y tː 
BENYTTE	b ə n y tː a 
BENYTTER	b ə n y tː ə r 
BENYTTES	b ə n y tː ə s 
BEORDRET	b ə ɔ r d r ə t 
BER	b eː r 
BERBERISBUSKER	b ə r b eː r ɪ s b ʉ s k ə r 
BEREGN	b ə r ɛ ŋ n 
BEREGNE	b ə r ɛ ŋ n a 
BEREGNET	b ə r ɛ ŋ n ə t 
BEREGNING	b ə r ɛ ŋ n ɪ ŋ 
BEREGNINGEN	b ə r ɛ ŋ n ɪ ŋ ə n 
BEREGNINGENE	b ə r ɛ ŋ n ɪ ŋ ɛ n a 
BERETNING	b ə r ɛ t n ɪ ŋ 
BERETNINGEN	b ə r ɛ t n ɪ ŋ ə n 
BERETNINGER	b ə r ɛ t n ɪ ŋ ə r 
BERETTIGELSEN	b ə r ɛ tː iː ɡ ɛ l s ə n 
BERG	b a r ɡ 
BERGE	b ə r ɡ eː 
BERGENSDIALEKT	b ə r ɡ ɛ n s d iː a l ɛ k t 
BERGENSEREN	b ə r ɡ ɛ n s eː r ə n 
BERGENSERNE	b ə r ɡ ɛ n s a r n a 
BERGER	b ə r ɡ eː r 
BERGET	b ə r ɡ eː t 
BERGING	b ə r j ɪ ŋ 
BERGINGSOPERASJONENS	b ə r j ɪ ŋ s uː p eː r ɑ ʃ uː n ə n s 
BERGLI	b ə r ɡ l iː 
BERGLIOT	b ə r ɡ l iː uː t 
BERGLJOT	b ə r ɡ j uː t 
BERGLUND	b ə r ɡ l ʉ n n 
BERGSTRØM	b ə r ɡ s t r øː m 
BERIKENDE	b ə r iː k ɛ n n a 
BERIT	b ə r iː t 
BERNHARD	b ə r n h ɑ r 
BERNT	b a r n t 
BEROLIGER	b ə r uː l iː ɡ ə r 
BERTELSEN	b ə r t ɛ l s ə n 
BERUSENDE	b ə r ʉː s ɛ n n a 
BERØMT	b ə r œ m t 
BERØMTE	b ə r œ m t a 
BERØRER	b ə r øː r ə r 
BERØRT	b ə r œ r t 
BERØRTE	b ə r œ r t a 
BES	b eː s 
BESETNINGEN	b ə s ɛ t n ɪ ŋ ə n 
BESKJED	b ə ʃ eː d 
BESKJEDEN	b ə ʃ eː d ə n 
BESKJEDENT	b ə ʃ eː d ɛ n t 
BESKJEDER	b ə ʃ eː d ə r 
BESKJEFTIGELSE	b ə ʃ ɛ f t iː ɡ ɛ l s a 
BESKJÆRING	b ə ʃ aː r ɪ ŋ 
BESKREVET	b ə s k r eː v ə t 
BESKRIVE	b ə s k r iː v a 
BESKRIVELSE	b ə s k r iː v ɛ l s a 
BESKRIVELSER	b ə s k r iː v ɛ l s ə r 
BESKRIVENDE	b ə s k r iː v ɛ n n a 
BESKRIVER	b ə s k r iː v ə r 
BESKRIVES	b ə s k r iː v ə s 
BESKYLDNINGER	b ə ʃ y l l n ɪ ŋ ə r 
BESKYTTE	b ə ʃ y tː a 
BESKYTTELSE	b ə ʃ y tː ɛ l s a 
BESKYTTELSEN	b ə ʃ y tː ɛ l s ə n 
BESKYTTELSER	b ə ʃ y tː ɛ l s ə r 
BESKYTTER	b ə ʃ y tː ə r 
BESLAG	b ə s l a ɡ 
BESLAGLAGT	b ə s l ɑ ɡ l ɑ ɡ t 
BESLUTNING	b ə s l ʉ t n ɪ ŋ 
BESLUTNINGEN	b ə s l ʉ t n ɪ ŋ ə n 
BESLUTNINGENE	b ə s l ʉ t n ɪ ŋ ɛ n a 
BESLUTNINGER	b ə s l ʉ t n ɪ ŋ ə r 
BESLUTNINGSDYKTIG	b ə s l ʉ t n ɪ ŋ s d y k t ɪ 
BESLUTNINGSMYNDIGHET	b ə s l ʉ t n ɪ ŋ s m y n n ɪ ɡ h ə t 
BESLUTNINGSPROSESSEN	b ə s l ʉ t n ɪ ŋ s p r uː s ɛ s s ə n 
BESLUTNINGSPROSESSER	b ə s l ʉ t n ɪ ŋ s p r uː s ɛ s s ə r 
BESLUTTET	b ə s l ʉ tː ə t 
BEST	b ɛ s t 
BESTANDDEL	b ə s t ɑ n n d ə l 
BESTE	b ə s t eː 
BESTEFORELDRE	b ə s t eː f uː r ɛ l l r a 
BESTEMME	b ə s t ɛ m m a 
BESTEMMELSE	b ə s t ɛ m m ɛ l s a 
BESTEMMELSEN	b ə s t ɛ m m ɛ l s ə n 
BESTEMMELSER	b ə s t ɛ m m ɛ l s ə r 
BESTEMMELSERPUNKTUM	b ə s t ɛ m m ə l s a r p ʉ ŋ k t ʉː m 
BESTEMMER	b ə s t ɛ m m ə r 
BESTEMMES	b ə s t ɛ m m ə s 
BESTEMOR	b ə s t eː m uː r 
BESTEMOREN	b ə s t eː m uː r ə n 
BESTEMT	b ə s t ɛ m t 
BESTEMTE	b ə s t ɛ m t a 
BESTILLER	b ə s t ɪ l l ə r 
BESTILLING	b ə s t ɪ l l ɪ ŋ 
BESTO	b ə s t uː 
BESTOD	b ə s t uː d 
BESTRIDE	b ə s t r iː d a 
BESTÅENDE	b ə s t oː a n n a 
BESTÅR	b ə s t oː r 
BESVERGELSE	b ə s v a r ɡ ɛ l s a 
BESVÆRPUNKTUM	b ə s v a r p ʉ ŋ k t ʉː m 
BESØK	b ə s øː k 
BESØKE	b ə s øː k a 
BESØKENDE	b ə s øː k ɛ n n a 
BESØKER	b ə s øː k ə r 
BESØKT	b ə s œ k t 
BESØKTE	b ə s œ k t a 
BETALE	b ə t a l a 
BETALER	b ə t a l ə r 
BETALINGSTID	b ə t a l ɪ ŋ s t iː d 
BETALT	b ə t ɑ l t 
BETALTE	b ə t ɑ l t a 
BETATT	b ə t ɑ tː 
BETEGNET	b ə t ɛ ŋ n ə t 
BETENKELIG	b ə t ɛ ŋ k eː l ɪ 
BETIMELIG	b ə t iː m eː l ɪ 
BETINGEDE	b ə t ɪ ŋ eː d a 
BETINGELSENE	b ə t ɪ ŋ ə l s ɛ n a 
BETINGELSER	b ə t ɪ ŋ ɛ l s ə r 
BETINGELSESLØST	b ə t ɪ ŋ ə l s ɛ s l œ s t 
BETJENE	b ə ʂ eː n a 
BETJENER	b ə ʂ eː n ə r 
BETJENINGENS	b ə ʂ eː n ɪ ŋ ə n s 
BETJENTE	b ə ʂ ɛ n t a 
BETJENTEN	b ə ʂ ɛ n t ə n 
BETRAKTE	b ə t r ɑ k t a 
BETRAKTELIG	b ə t r ɑ k t eː l ɪ 
BETRAKTER	b ə t r ɑ k t ə r 
BETRAKTET	b ə t r ɑ k t ə t 
BETRAKTNING	b ə t r ɑ k t n ɪ ŋ 
BETRODD	b ə t r ɔ dː 
BETRYGGENDE	b ə t r y ɡː ɛ n n a 
BETVINGENDE	b ə t v ɪ ŋ ɛ n n a 
BETY	b ə t yː 
BETYDELIG	b ə t yː d eː l ɪ 
BETYDELIGE	b ə t yː d eː l iː ɡ a 
BETYDNING	b ə t y d n ɪ ŋ 
BETYDNINGEN	b ə t y d n ɪ ŋ ə n 
BETYDNINGPUNKTUM	b ə t y d n ɪ ŋ p ʉ ŋ k t ʉː m 
BETYR	b ə t yː r 
BEUNDRINGSVERDIG	b ə ʉ n n r ɪ ŋ s v a r d ɪ 
BEVARE	b ə v a r a 
BEVARER	b ə v a r ə r 
BEVARES	b ə v a r ə s 
BEVARINGSHENSYN	b ə v a r ɪ ŋ s h ɛ n s yː n 
BEVART	b ə v ɑ r t 
BEVARTE	b ə v ɑ r t a 
BEVEGE	b ə v eː ɡ a 
BEVEGELIGE	b ə v eː ɡ eː l iː ɡ a 
BEVEGELSE	b ə v eː ɡ ɛ l s a 
